CustomerID,Age,Gender,Tenure_Months,Monthly_Bill_GBP,Data_Usage_GB,Call_Duration_Mins,Support_Calls,Contract_Type,Payment_Method
TEL-2925,22,Female,52,62.82,14.26,313.0,8,One year,Bank transfer
TEL-2071,79,Female,45,27.73,2.65,74.0,0,Two year,Credit card
TEL-1614,83,Male,1,48.13,5.23,860.0,1,Month-to-month,Bank transfer
TEL-2553,25,Male,59,25.76,0.85,69.0,1,Two year,Electronic check
TEL-1859,28,Male,47,37.54,1.48,599.0,0,One year,Mailed check
TEL-1669,35,Non-binary,22,51.91,0.86,717.0,0,One year,Bank transfer
TEL-2829,19,Female,27,62.22,25.3,229.0,7,Two year,Electronic check
TEL-1442,59,Non-binary,4,40.57,3.27,1023.0,6,Month-to-month,Bank transfer
TEL-2172,23,Male,36,25.13,2.06,103.0,1,Month-to-month,Credit card
TEL-1167,55,Female,2,80.93,440.12,19.0,1,One year,Mailed check
TEL-2817,77,Male,1,72.07,27.21,364.0,5,One year,Electronic check
TEL-2444,41,Female,21,19.12,2.38,72.0,0,One year,Mailed check
TEL-2100,77,Female,39,25.24,4.17,28.0,0,Two year,Bank transfer
TEL-2243,49,Non-binary,6,20.81,4.57,99.0,0,Two year,Mailed check
TEL-1237,44,Male,31,88.99,454.66,72.0,2,Month-to-month,Electronic check
TEL-1603,68,Male,35,39.45,4.26,1053.0,3,One year,Credit card
TEL-2447,68,Male,49,18.97,1.24,127.0,3,Two year,Mailed check
TEL-1804,81,Female,60,38.93,6.51,791.0,2,One year,Credit card
TEL-2142,35,Male,47,23.48,3.48,107.0,1,Two year,Mailed check
TEL-1997,75,Female,60,56.99,2.36,1176.0,1,Two year,Mailed check
TEL-1149,56,Male,36,78.16,419.42,33.0,0,Two year,Mailed check
TEL-1820,30,Male,11,44.28,6.44,923.0,0,One year,Mailed check
TEL-1431,69,Female,16,26.39,0.52,378.0,5,Month-to-month,Mailed check
TEL-2967,57,Non-binary,43,50.73,22.06,202.0,7,Month-to-month,Credit card
TEL-2709,66,Non-binary,70,24.7,2.57,63.0,0,Two year,Electronic check
TEL-1882,80,Male,70,61.84,4.87,794.0,3,Two year,Credit card
TEL-2457,20,Male,38,24.51,0.67,146.0,0,One year,Bank transfer
TEL-1630,68,Female,68,42.77,4.91,729.0,2,Two year,Electronic check
TEL-2355,35,Female,18,25.28,2.3,127.0,0,One year,Bank transfer
TEL-1347,81,Male,12,87.1,419.81,54.0,2,Month-to-month,Electronic check
TEL-2503,64,Female,9,24.61,2.31,67.0,1,Month-to-month,Bank transfer
TEL-1600,69,Non-binary,58,42.67,3.78,704.0,2,Month-to-month,Electronic check
TEL-2834,51,Non-binary,57,63.29,28.19,228.0,6,Month-to-month,Bank transfer
TEL-1711,41,Female,70,56.85,8.31,711.0,0,Month-to-month,Mailed check
TEL-1240,47,Male,32,87.91,441.58,94.0,3,One year,Mailed check
TEL-2571,48,Male,17,24.87,2.78,46.0,0,Month-to-month,Electronic check
TEL-1106,68,Non-binary,45,85.84,454.14,63.0,0,One year,Mailed check
TEL-2692,84,Male,55,31.78,2.34,102.0,0,Two year,Electronic check
TEL-1842,23,Female,27,36.03,5.56,616.0,0,Two year,Bank transfer
TEL-2596,45,Female,21,24.49,3.38,110.0,0,Two year,Electronic check
TEL-2041,73,Non-binary,12,22.68,2.63,119.0,1,One year,Credit card
TEL-2375,19,Female,69,17.63,0.05,81.0,0,Two year,Mailed check
TEL-2982,64,Male,12,48.92,15.84,352.0,0,Two year,Electronic check
TEL-1529,81,Male,12,37.16,2.56,1104.0,3,Two year,Electronic check
TEL-1080,52,Male,71,92.09,418.57,6.0,3,One year,Credit card
TEL-2232,44,Non-binary,30,27.3,-0.53,144.0,0,One year,Mailed check
TEL-1996,43,Non-binary,39,38.71,6.22,851.0,1,Two year,Mailed check
TEL-1645,44,Male,37,61.68,3.67,865.0,0,Two year,Mailed check
TEL-2300,64,Non-binary,53,23.72,0.64,133.0,1,One year,Bank transfer
TEL-1901,43,Male,36,50.66,3.97,471.0,2,One year,Electronic check
TEL-1004,41,Male,13,73.02,420.68,25.0,0,Month-to-month,Credit card
TEL-1441,70,Non-binary,54,49.02,1.47,708.0,3,Month-to-month,Mailed check
TEL-1758,66,Non-binary,15,55.69,4.31,610.0,1,Month-to-month,Electronic check
TEL-1445,31,Non-binary,25,35.99,4.01,797.0,1,One year,Bank transfer
TEL-2064,66,Female,35,29.0,2.29,22.0,0,Two year,Mailed check
TEL-1647,64,Female,59,47.6,1.92,1030.0,0,One year,Bank transfer
TEL-1119,83,Non-binary,30,81.54,386.22,70.0,1,Two year,Mailed check
TEL-2992,39,Male,23,80.23,1200.0,273.0,5,Two year,Electronic check
TEL-2093,56,Male,51,20.6,0.98,136.0,2,Month-to-month,Mailed check
TEL-2540,25,Female,69,17.33,3.99,50.0,0,One year,Credit card
TEL-1049,21,Female,29,72.65,482.79,17.0,1,One year,Bank transfer
TEL-1993,42,Male,10,52.54,7.66,894.0,1,Month-to-month,Electronic check
TEL-2757,33,Male,55,12.0,1.57,161.0,1,Month-to-month,Mailed check
TEL-1537,52,Female,40,39.21,8.57,773.0,0,One year,Bank transfer
TEL-2766,69,Non-binary,31,35.91,2.02,23.0,1,Month-to-month,Mailed check
TEL-1729,29,Female,32,49.96,5.27,520.0,0,One year,Mailed check
TEL-1510,32,Male,53,45.2,4.75,475.0,1,Month-to-month,Credit card
TEL-1504,37,Non-binary,43,44.62,4.28,972.0,2,Month-to-month,Electronic check
TEL-1970,77,Male,2,58.39,7.68,1065.0,2,Month-to-month,Bank transfer
TEL-1129,79,Non-binary,8,87.02,492.09,42.0,0,Month-to-month,Mailed check
TEL-2548,72,Non-binary,70,30.87,3.33,155.0,1,Month-to-month,Bank transfer
TEL-2401,75,Male,28,29.05,4.17,78.0,0,Month-to-month,Bank transfer
TEL-1425,66,Female,44,40.32,2.88,770.0,4,One year,Bank transfer
TEL-1466,82,Non-binary,59,38.66,4.54,683.0,4,Month-to-month,Credit card
TEL-2701,49,Female,27,25.12,0.55,120.0,0,Month-to-month,Credit card
TEL-2421,61,Male,6,28.55,1.2,135.0,0,One year,Electronic check
TEL-1183,56,Non-binary,13,73.7,488.76,91.0,0,Month-to-month,Electronic check
TEL-1857,57,Female,36,38.8,2.63,901.0,0,Two year,Bank transfer
TEL-2405,58,Female,26,24.67,2.66,124.0,0,Month-to-month,Electronic check
TEL-1039,26,Female,29,79.88,482.23,64.0,1,One year,Electronic check
TEL-1544,47,Male,54,41.04,6.96,835.0,0,One year,Electronic check
TEL-2534,61,Female,23,29.69,2.55,137.0,0,One year,Bank transfer
TEL-2842,38,Male,35,66.93,0.97,142.0,10,Two year,Electronic check
TEL-2723,20,Female,54,30.0,1.66,137.0,0,Two year,Mailed check
TEL-2371,37,Non-binary,24,19.09,1.76,86.0,0,Two year,Mailed check
TEL-1672,81,Non-binary,65,53.03,1.47,607.0,1,One year,Electronic check
TEL-1667,20,Non-binary,1,46.94,3.46,696.0,3,One year,Credit card
TEL-2510,78,Non-binary,5,34.93,0.79,83.0,1,Two year,Electronic check
TEL-1403,53,Non-binary,65,50.71,5.29,808.0,0,Month-to-month,Bank transfer
TEL-1928,68,Male,31,35.82,2.33,992.0,1,Two year,Credit card
TEL-1222,65,Female,31,76.54,455.67,59.0,0,One year,Electronic check
TEL-2628,53,Non-binary,48,23.22,3.55,104.0,3,One year,Electronic check
TEL-1241,45,Male,55,79.93,433.7,54.0,0,One year,Electronic check
TEL-2629,47,Male,3,14.73,1.93,37.0,0,Month-to-month,Mailed check
TEL-2502,54,Non-binary,9,24.7,2.41,144.0,1,Two year,Electronic check
TEL-2197,26,Male,60,24.5,3.5,118.0,0,Two year,Electronic check
TEL-1509,31,Female,52,29.74,0.44,670.0,3,Two year,Credit card
TEL-1175,53,Non-binary,67,76.48,470.33,51.0,0,Month-to-month,Electronic check
TEL-1937,27,Male,17,48.95,8.06,828.0,3,Month-to-month,Credit card
TEL-1491,50,Non-binary,8,50.69,2.2,541.0,6,One year,Credit card
TEL-2234,77,Male,22,20.01,1.82,139.0,0,Month-to-month,Credit card
TEL-2747,33,Female,27,26.51,2.47,79.0,0,One year,Bank transfer
TEL-1143,49,Male,58,93.17,374.86,28.0,0,Month-to-month,Mailed check
TEL-2549,60,Non-binary,67,24.61,1.11,129.0,1,Two year,Bank transfer
TEL-1763,51,Female,8,30.81,6.65,1075.0,2,Two year,Electronic check
TEL-2192,46,Male,50,19.92,2.05,157.0,0,Month-to-month,Bank transfer
TEL-1190,59,Non-binary,70,79.96,504.39,67.0,1,Month-to-month,Credit card
TEL-2083,33,Female,67,22.78,0.64,44.0,0,Two year,Credit card
TEL-2696,41,Male,71,18.8,3.31,136.0,0,Two year,Bank transfer
TEL-2420,68,Non-binary,65,26.09,1.87,121.0,2,Two year,Mailed check
TEL-2796,37,Non-binary,43,26.94,1.04,88.0,1,One year,Bank transfer
TEL-2400,23,Female,19,29.45,4.6,187.0,0,Two year,Credit card
TEL-1110,40,Non-binary,3,84.83,456.71,35.0,1,Month-to-month,Mailed check
TEL-1873,38,Male,19,52.49,10.43,736.0,3,One year,Bank transfer
TEL-2712,77,Non-binary,56,37.59,1.41,160.0,0,One year,Mailed check
TEL-1280,60,Non-binary,55,80.88,500.51,51.0,2,One year,Bank transfer
TEL-1836,43,Female,48,30.84,7.17,832.0,2,Two year,Mailed check
TEL-1245,36,Non-binary,10,85.13,361.03,58.0,0,Two year,Electronic check
TEL-2719,67,Female,61,27.26,2.78,78.0,1,One year,Bank transfer
TEL-1890,76,Male,54,51.67,4.58,683.0,3,Two year,Bank transfer
TEL-1489,42,Female,46,44.64,4.41,726.0,1,One year,Mailed check
TEL-1558,38,Female,66,43.92,4.93,528.0,0,Two year,Credit card
TEL-1921,57,Non-binary,7,43.16,4.4,540.0,3,One year,Bank transfer
TEL-1678,42,Female,38,31.96,4.52,630.0,0,Two year,Credit card
TEL-1225,24,Male,35,79.9,444.82,37.0,1,Two year,Mailed check
TEL-2379,43,Non-binary,45,28.88,3.86,97.0,0,One year,Credit card
TEL-1732,31,Female,24,34.94,6.1,655.0,2,Two year,Electronic check
TEL-2323,35,Female,16,33.4,0.72,159.0,2,One year,Credit card
TEL-1037,77,Non-binary,47,82.62,493.81,33.0,1,One year,Electronic check
TEL-2156,56,Male,13,24.17,1.72,87.0,1,One year,Bank transfer
TEL-2003,55,Female,27,30.61,0.74,44.0,0,Month-to-month,Mailed check
TEL-2313,75,Female,19,21.72,1.43,74.0,1,Two year,Electronic check
TEL-1791,32,Non-binary,63,60.91,4.41,819.0,5,Two year,Credit card
TEL-2301,39,Non-binary,59,30.89,0.16,46.0,0,Two year,Bank transfer
TEL-1849,77,Non-binary,12,43.45,4.36,650.0,2,One year,Credit card
TEL-1162,49,Male,59,78.08,388.38,75.0,2,Month-to-month,Bank transfer
TEL-1423,76,Male,20,41.12,5.82,1151.0,3,Month-to-month,Electronic check
TEL-2101,62,Male,4,25.39,1.83,47.0,0,One year,Credit card
TEL-1108,69,Male,64,94.56,330.78,20.0,0,Two year,Electronic check
TEL-1289,77,Male,65,76.81,378.19,45.0,4,Month-to-month,Credit card
TEL-1633,22,Male,23,38.28,4.16,837.0,2,Two year,Bank transfer
TEL-1943,25,Male,1,36.07,4.16,690.0,6,One year,Bank transfer
TEL-1180,69,Female,45,86.37,453.78,48.0,0,One year,Bank transfer
TEL-2477,83,Non-binary,25,21.94,1.09,99.0,0,Two year,Mailed check
TEL-1019,76,Male,36,84.51,490.16,48.0,0,Month-to-month,Credit card
TEL-1999,54,Non-binary,65,35.21,4.9,821.0,3,Month-to-month,Bank transfer
TEL-1286,42,Non-binary,59,87.72,450.37,43.0,2,Month-to-month,Bank transfer
TEL-2124,56,Female,12,17.06,3.73,92.0,0,Two year,Bank transfer
TEL-2792,52,Non-binary,40,14.74,2.8,93.0,1,Two year,Mailed check
TEL-1746,19,Non-binary,40,40.46,4.54,749.0,1,One year,Credit card
TEL-1877,69,Male,27,41.66,6.04,1014.0,3,Two year,Mailed check
TEL-1736,28,Male,50,46.4,7.72,918.0,3,One year,Credit card
TEL-1157,18,Female,16,89.54,460.52,4.0,2,Month-to-month,Mailed check
TEL-2013,29,Female,21,20.42,1.92,94.0,0,Two year,Bank transfer
TEL-2577,71,Non-binary,34,18.38,1.78,157.0,1,One year,Credit card
TEL-2374,49,Female,13,21.02,2.79,141.0,1,Month-to-month,Bank transfer
TEL-1385,84,Female,4,86.14,475.83,67.0,2,One year,Credit card
TEL-2349,77,Male,25,29.78,0.99,85.0,0,Month-to-month,Electronic check
TEL-1881,52,Non-binary,25,45.8,3.62,962.0,1,Two year,Mailed check
TEL-2256,77,Non-binary,9,23.41,1.82,60.0,0,One year,Credit card
TEL-1457,26,Non-binary,72,44.03,1.57,563.0,2,Month-to-month,Credit card
TEL-1137,79,Male,29,70.96,462.94,58.0,2,One year,Bank transfer
TEL-2443,77,Female,31,29.72,2.2,130.0,0,Two year,Bank transfer
TEL-2385,61,Male,53,19.34,4.5,203.0,0,Two year,Mailed check
TEL-2164,21,Male,45,14.7,2.09,116.0,1,One year,Electronic check
TEL-2476,45,Male,23,25.85,0.55,77.0,0,One year,Bank transfer
TEL-1526,67,Non-binary,72,49.58,1.94,811.0,1,Two year,Electronic check
TEL-1586,74,Non-binary,31,51.16,1.53,815.0,4,Month-to-month,Bank transfer
TEL-1722,68,Female,19,60.98,4.96,883.0,4,Month-to-month,Credit card
TEL-1802,68,Non-binary,3,39.41,5.39,874.0,1,One year,Credit card
TEL-2608,60,Non-binary,63,31.05,2.6,39.0,0,Month-to-month,Credit card
TEL-1994,39,Non-binary,48,42.31,5.64,771.0,3,Two year,Bank transfer
TEL-1220,31,Male,43,95.29,470.47,73.0,1,Month-to-month,Bank transfer
TEL-1309,75,Male,3,89.16,375.3,43.0,0,Two year,Bank transfer
TEL-2096,34,Female,60,22.07,2.33,60.0,0,One year,Bank transfer
TEL-1130,79,Female,58,74.7,397.44,46.0,3,One year,Bank transfer
TEL-2939,25,Female,56,65.98,20.15,297.0,2,Two year,Mailed check
TEL-2795,52,Male,64,29.91,2.39,109.0,0,One year,Mailed check
TEL-2107,56,Male,60,26.67,0.38,118.0,1,Two year,Electronic check
TEL-1165,73,Male,44,90.36,533.5,65.0,1,Two year,Electronic check
TEL-1961,65,Female,43,32.78,6.56,741.0,4,Two year,Credit card
TEL-2110,42,Non-binary,53,27.45,2.41,2.0,0,Two year,Mailed check
TEL-1038,31,Non-binary,65,85.77,414.53,1.0,1,Month-to-month,Bank transfer
TEL-1249,66,Female,29,74.27,445.12,52.0,1,Month-to-month,Bank transfer
TEL-2732,75,Male,70,24.36,2.49,113.0,1,Two year,Bank transfer
TEL-1768,39,Non-binary,69,45.81,6.59,892.0,1,One year,Credit card
TEL-1830,64,Male,18,43.29,6.87,735.0,2,Month-to-month,Credit card
TEL-1085,45,Non-binary,45,95.47,482.98,75.0,0,Two year,Electronic check
TEL-2869,75,Non-binary,64,63.72,29.95,171.0,7,Two year,Credit card
TEL-2545,64,Female,2,26.97,2.99,79.0,1,Month-to-month,Electronic check
TEL-2725,61,Non-binary,58,21.19,2.41,107.0,0,Two year,Electronic check
TEL-1056,35,Non-binary,26,92.31,455.35,28.0,1,One year,Bank transfer
TEL-2843,45,Non-binary,67,73.0,25.4,469.0,9,One year,Credit card
TEL-1866,74,Non-binary,37,44.91,7.55,562.0,1,Two year,Electronic check
TEL-1460,83,Male,6,35.01,9.42,664.0,2,Two year,Electronic check
TEL-1329,36,Male,55,95.82,345.71,71.0,0,Month-to-month,Bank transfer
TEL-1024,79,Male,47,80.76,390.61,56.0,1,Month-to-month,Mailed check
TEL-2108,32,Male,57,18.12,-0.38,114.0,0,Month-to-month,Electronic check
TEL-1184,18,Male,27,87.73,397.72,34.0,2,Two year,Mailed check
TEL-2307,76,Female,10,25.17,3.01,63.0,0,Two year,Mailed check
TEL-2340,20,Female,60,19.75,2.33,88.0,0,Month-to-month,Credit card
TEL-1480,30,Non-binary,54,52.79,4.07,814.0,6,Month-to-month,Credit card
TEL-2672,72,Male,58,26.92,3.41,64.0,0,Month-to-month,Bank transfer
TEL-1438,33,Male,6,68.83,3.21,937.0,2,One year,Mailed check
TEL-2089,24,Male,29,28.85,1.87,131.0,0,Month-to-month,Credit card
TEL-2158,80,Non-binary,57,25.86,2.24,64.0,0,Two year,Bank transfer
TEL-2779,59,Male,35,26.22,0.09,91.0,1,Two year,Bank transfer
TEL-1254,23,Male,43,103.08,412.98,17.0,0,Month-to-month,Mailed check
TEL-1343,65,Non-binary,57,90.4,354.75,43.0,1,One year,Mailed check
TEL-2407,31,Female,38,18.15,0.23,151.0,0,Two year,Electronic check
TEL-2305,38,Male,29,25.22,2.62,66.0,1,One year,Credit card
TEL-1260,80,Female,55,71.02,554.24,67.0,1,Month-to-month,Credit card
TEL-1047,53,Female,64,69.01,445.45,74.0,1,Two year,Electronic check
TEL-1919,47,Non-binary,42,51.9,6.48,773.0,2,Month-to-month,Bank transfer
TEL-2274,67,Non-binary,59,26.32,1.97,74.0,0,Two year,Bank transfer
TEL-1418,40,Non-binary,39,47.1,11.55,847.0,0,One year,Mailed check
TEL-2322,29,Male,8,20.37,3.46,-2.0,1,One year,Credit card
TEL-2951,79,Male,24,66.06,24.23,345.0,3,One year,Credit card
TEL-2849,57,Male,71,74.4,12.87,314.0,13,One year,Credit card
TEL-1171,76,Female,18,82.89,473.45,73.0,0,One year,Credit card
TEL-2580,32,Non-binary,6,20.97,2.86,118.0,0,One year,Mailed check
TEL-1169,28,Female,12,86.23,366.44,67.0,0,One year,Electronic check
TEL-2805,82,Male,46,58.41,19.21,240.0,5,One year,Mailed check
TEL-2855,67,Male,7,62.82,7.02,446.0,4,Month-to-month,Credit card
TEL-2565,81,Female,30,19.23,2.3,112.0,1,Two year,Electronic check
TEL-1320,22,Female,72,85.8,430.01,27.0,2,Two year,Electronic check
TEL-1952,51,Male,53,43.79,3.67,811.0,1,Two year,Electronic check
TEL-1992,83,Male,40,49.77,4.94,773.0,4,One year,Bank transfer
TEL-1386,82,Male,64,85.62,400.93,25.0,2,One year,Credit card
TEL-2395,67,Non-binary,19,34.56,1.35,79.0,1,Month-to-month,Bank transfer
TEL-1799,23,Non-binary,65,29.87,4.93,883.0,1,Two year,Electronic check
TEL-1693,81,Female,15,58.83,5.47,745.0,2,One year,Electronic check
TEL-2354,38,Male,28,20.54,3.02,185.0,0,One year,Bank transfer
TEL-1494,75,Non-binary,13,39.66,7.58,629.0,2,Two year,Electronic check
TEL-2913,77,Female,45,68.76,32.82,219.0,6,Two year,Bank transfer
TEL-1160,70,Female,57,89.8,397.22,75.0,1,One year,Mailed check
TEL-2217,57,Non-binary,28,25.1,2.22,124.0,1,One year,Credit card
TEL-2350,80,Non-binary,18,18.45,1.76,68.0,0,Two year,Mailed check
TEL-2560,31,Male,35,16.83,5.1,120.0,0,Month-to-month,Credit card
TEL-2149,32,Non-binary,26,26.17,1.25,105.0,1,Two year,Electronic check
TEL-1153,76,Male,61,85.98,444.5,58.0,1,Two year,Electronic check
TEL-2892,59,Female,41,61.68,22.25,383.0,7,Two year,Credit card
TEL-1747,30,Male,59,47.54,5.3,982.0,3,Month-to-month,Mailed check
TEL-1007,70,Male,23,83.53,534.23,92.0,0,Month-to-month,Bank transfer
TEL-2495,37,Male,30,35.79,1.96,160.0,1,One year,Mailed check
TEL-2520,50,Non-binary,63,28.16,2.07,132.0,0,Month-to-month,Credit card
TEL-2782,52,Non-binary,70,28.1,1.74,77.0,0,One year,Bank transfer
TEL-1517,29,Female,54,38.9,4.82,959.0,1,Month-to-month,Electronic check
TEL-2298,49,Male,69,27.16,2.59,51.0,1,Two year,Credit card
TEL-2061,36,Female,32,24.06,1.98,103.0,0,Two year,Mailed check
TEL-2428,45,Female,21,15.36,0.78,38.0,1,One year,Bank transfer
TEL-1284,43,Non-binary,5,97.53,447.26,51.0,1,One year,Mailed check
TEL-1621,21,Male,38,44.51,7.87,934.0,4,One year,Mailed check
TEL-1727,36,Male,20,66.78,3.38,622.0,3,Two year,Credit card
TEL-2441,21,Non-binary,9,23.72,3.96,114.0,1,One year,Mailed check
TEL-2626,25,Female,48,17.61,3.33,72.0,1,Two year,Electronic check
TEL-1986,41,Male,27,47.16,3.4,871.0,1,Month-to-month,Bank transfer
TEL-2684,27,Female,69,23.81,2.4,139.0,0,Two year,Credit card
TEL-2306,64,Non-binary,3,28.94,1.1,62.0,1,Month-to-month,Electronic check
TEL-2956,19,Non-binary,49,65.13,10.02,344.0,4,Two year,Bank transfer
TEL-1605,46,Male,44,63.97,6.12,1131.0,0,One year,Credit card
TEL-1884,55,Male,36,51.04,2.17,971.0,2,Two year,Electronic check
TEL-2699,36,Male,4,25.96,1.98,67.0,0,Month-to-month,Electronic check
TEL-2304,73,Male,71,26.72,2.31,50.0,0,One year,Mailed check
TEL-1654,18,Male,30,45.86,3.28,907.0,3,One year,Electronic check
TEL-2632,66,Non-binary,14,27.05,2.53,142.0,0,Month-to-month,Electronic check
TEL-1250,34,Non-binary,19,80.71,466.39,71.0,0,One year,Credit card
TEL-1981,54,Non-binary,42,28.5,5.27,1045.0,0,One year,Credit card
TEL-1815,50,Female,58,40.4,3.36,1049.0,0,Two year,Bank transfer
TEL-2686,42,Non-binary,57,29.05,2.24,93.0,1,Month-to-month,Bank transfer
TEL-1915,47,Female,58,53.58,3.89,706.0,0,Month-to-month,Electronic check
TEL-2592,20,Male,38,24.19,1.19,105.0,0,One year,Bank transfer
TEL-1602,47,Female,15,45.95,5.25,805.0,2,One year,Credit card
TEL-2775,32,Non-binary,56,34.51,1.39,78.0,0,Two year,Electronic check
TEL-1632,38,Male,21,41.68,4.97,762.0,3,One year,Credit card
TEL-1610,34,Non-binary,12,60.51,5.74,729.0,0,Two year,Mailed check
TEL-2498,18,Non-binary,15,18.28,2.62,134.0,2,One year,Bank transfer
TEL-1380,50,Male,49,68.68,478.52,47.0,0,Month-to-month,Electronic check
TEL-2166,37,Female,28,28.01,2.8,138.0,4,One year,Mailed check
